"state1_name","state2_name","state1_fips","state2_fips","distance_km","state_comb","n","mig_5yago","mig_current"
"Minnesota","Florida",27,12,2223.38598632812,2712,4,"Minnesota","Florida"
"Minnesota","Tennessee",27,47,1335.61010742188,2747,1,"Minnesota","Tennessee"
"Minnesota","New York",27,36,1530.13317871094,2736,1,"Minnesota","New York"
"Minnesota","Hawaii",27,15,6265.0771484375,2715,9,"Minnesota","Hawaii"
"Minnesota","Washington",27,53,1986.92810058594,2753,2,"Minnesota","Washington"
"Minnesota","Alaska",27,2,3992.21606445312,2702,5,"Minnesota","Alaska"
"Minnesota","Colorado",27,8,1223.51403808594,2708,6,"Minnesota","Colorado"
"Minnesota","Indiana",27,18,962.842712402344,2718,1,"Minnesota","Indiana"
"Minnesota","District of Columbia",27,11,1630.52685546875,2711,3,"Minnesota","District of Columbia"
"Minnesota","Wyoming",27,56,1108.47436523438,2756,11,"Minnesota","Wyoming"
"Minnesota","Vermont",27,50,1708.32263183594,2750,1,"Minnesota","Vermont"
"Minnesota","New Mexico",27,35,1653.02087402344,2735,1,"Minnesota","New Mexico"
"Minnesota","Ohio",27,39,1143.26794433594,2739,6,"Minnesota","Ohio"
"Minnesota","Nebraska",27,31,686.557983398438,2731,2,"Minnesota","Nebraska"
"Minnesota","South Dakota",27,46,505.798370361328,2746,20,"Minnesota","South Dakota"
"Minnesota","Nevada",27,32,1970.22290039062,2732,1,"Minnesota","Nevada"
"Minnesota","North Dakota",27,38,486.032318115234,2738,72,"Minnesota","North Dakota"
"Minnesota","Arizona",27,4,1979.62084960938,2704,2,"Minnesota","Arizona"
"Minnesota","Arkansas",27,5,1275.93615722656,2705,1,"Minnesota","Arkansas"
"Iowa","California",19,6,2280.83349609375,1906,4,"Iowa","California"
"Iowa","Wisconsin",19,55,400.744964599609,1955,11,"Iowa","Wisconsin"
"Iowa","Minnesota",19,27,472.194213867188,1927,3,"Iowa","Minnesota"
"Iowa","Missouri",19,29,422.684265136719,1929,8,"Iowa","Missouri"
"Iowa","Michigan",19,26,703.80615234375,1926,8,"Iowa","Michigan"
"Iowa","Montana",19,30,1389.67028808594,1930,3,"Iowa","Montana"
"Iowa","Illinois",19,17,425.518676757812,1917,7,"Iowa","Illinois"
"Iowa","Texas",19,48,1289.8212890625,1948,3,"Iowa","Texas"
"Iowa","Georgia",19,13,1373.57983398438,1913,6,"Iowa","Georgia"
"Iowa","Hawaii",19,15,6298.9150390625,1915,3,"Iowa","Hawaii"
"Iowa","West Virginia",19,54,1154.22741699219,1954,7,"Iowa","West Virginia"
"Iowa","Alaska",19,2,4400.64453125,1902,2,"Iowa","Alaska"
"Iowa","Colorado",19,8,1073.3994140625,1908,2,"Iowa","Colorado"
"Iowa","North Carolina",19,37,1433.91943359375,1937,3,"Iowa","North Carolina"
"Iowa","Indiana",19,18,652.054931640625,1918,3,"Iowa","Indiana"
"Iowa","Kansas",19,20,574.369689941406,1920,2,"Iowa","Kansas"
"Iowa","District of Columbia",19,11,1434.90783691406,1911,1,"Iowa","District of Columbia"
"Iowa","Wyoming",19,56,1154.87780761719,1956,3,"Iowa","Wyoming"
"Iowa","New Mexico",19,35,1390.77893066406,1935,5,"Iowa","New Mexico"
"Iowa","Ohio",19,39,916.425903320312,1939,8,"Iowa","Ohio"
"Iowa","Nebraska",19,31,525.422790527344,1931,5,"Iowa","Nebraska"
"Iowa","South Dakota",19,46,605.200378417969,1946,24,"Iowa","South Dakota"
"Iowa","North Dakota",19,38,811.784851074219,1938,3,"Iowa","North Dakota"
"Missouri","California",29,6,2369.66650390625,2906,16,"Missouri","California"
"Missouri","Wisconsin",29,55,726.579956054688,2955,2,"Missouri","Wisconsin"
"Missouri","Idaho",29,16,1958.14709472656,2916,4,"Missouri","Idaho"
"Missouri","Minnesota",29,27,894.09765625,2927,2,"Missouri","Minnesota"
"Missouri","Iowa",29,19,422.684265136719,2919,4,"Missouri","Iowa"
"Missouri","Maryland",29,24,1364.31030273438,2924,9,"Missouri","Maryland"
"Missouri","Michigan",29,26,889.091125488281,2926,2,"Missouri","Michigan"
"Missouri","Montana",29,30,1698.13732910156,2930,1,"Missouri","Montana"
"Missouri","Illinois",29,17,337.706451416016,2917,15,"Missouri","Illinois"
"Missouri","Texas",29,48,989.74560546875,2948,8,"Missouri","Texas"
"Missouri","Louisiana",29,22,818.069519042969,2922,3,"Missouri","Louisiana"
"Missouri","Florida",29,12,1427.45202636719,2912,5,"Missouri","Florida"
"Missouri","Kentucky",29,21,634.158203125,2921,7,"Missouri","Kentucky"
"Missouri","Tennessee",29,47,608.783020019531,2947,1,"Missouri","Tennessee"
"Missouri","New York",29,36,1515.16723632812,2936,1,"Missouri","New York"
"Missouri","Georgia",29,13,1034.5693359375,2913,5,"Missouri","Georgia"
"Missouri","Alaska",29,2,4789.38134765625,2902,6,"Missouri","Alaska"
"Missouri","Pennsylvania",29,42,1284.88830566406,2942,2,"Missouri","Pennsylvania"
"Missouri","North Carolina",29,37,1219.12145996094,2937,2,"Missouri","North Carolina"
"Missouri","Indiana",29,18,559.471923828125,2918,2,"Missouri","Indiana"
"Missouri","Kansas",29,20,515.736511230469,2920,21,"Missouri","Kansas"
"Missouri","District of Columbia",29,11,1341.12512207031,2911,3,"Missouri","District of Columbia"
"Missouri","Wyoming",29,56,1370.81274414062,2956,3,"Missouri","Wyoming"
"Missouri","Mississippi",29,28,674.156555175781,2928,7,"Missouri","Mississippi"
"Missouri","Connecticut",29,9,1715.57214355469,2909,1,"Missouri","Connecticut"
"Missouri","New Mexico",29,35,1297.28100585938,2935,1,"Missouri","New Mexico"
"Missouri","Ohio",29,39,858.043762207031,2939,1,"Missouri","Ohio"
"Missouri","Alabama",29,1,802.349243164062,2901,1,"Missouri","Alabama"
"Missouri","Nebraska",29,31,718.060363769531,2931,2,"Missouri","Nebraska"
"Missouri","Nevada",29,32,2090.0634765625,2932,1,"Missouri","Nevada"
"Missouri","North Dakota",29,38,1201.69689941406,2938,14,"Missouri","North Dakota"
"Missouri","South Carolina",29,45,1149.71350097656,2945,3,"Missouri","South Carolina"
"Missouri","Arkansas",29,5,385.106201171875,2905,19,"Missouri","Arkansas"
"Maryland","California",24,6,3709.9912109375,2406,5,"Maryland","California"
"Maryland","Wisconsin",24,55,1259.71337890625,2455,2,"Maryland","Wisconsin"
"Maryland","Iowa",24,19,1452.74743652344,2419,1,"Maryland","Iowa"
"Maryland","Michigan",24,26,928.392944335938,2426,4,"Maryland","Michigan"
"Maryland","Montana",24,30,2793.80737304688,2430,2,"Maryland","Montana"
"Maryland","Virginia",24,51,245.709838867188,2451,46,"Maryland","Virginia"
"Maryland","Texas",24,48,2208.27856445312,2448,18,"Maryland","Texas"
"Maryland","Louisiana",24,22,1642.01647949219,2422,3,"Maryland","Louisiana"
"Maryland","Florida",24,12,1275.21545410156,2412,4,"Maryland","Florida"
"Maryland","Kentucky",24,21,764.906982421875,2421,2,"Maryland","Kentucky"
"Maryland","Tennessee",24,47,917.737487792969,2447,9,"Maryland","Tennessee"
"Maryland","New York",24,36,446.571105957031,2436,7,"Maryland","New York"
"Maryland","Georgia",24,13,931.561096191406,2413,5,"Maryland","Georgia"
"Maryland","Delaware",24,10,107.414123535156,2410,50,"Maryland","Delaware"
"Maryland","Washington",24,53,3614.63647460938,2453,2,"Maryland","Washington"
"Maryland","West Virginia",24,54,338.692291259766,2454,26,"Maryland","West Virginia"
"Maryland","Alaska",24,2,5496.60009765625,2402,1,"Maryland","Alaska"
"Maryland","Pennsylvania",24,42,224.559646606445,2442,11,"Maryland","Pennsylvania"
"Maryland","Colorado",24,8,2478.197265625,2408,4,"Maryland","Colorado"
"Maryland","Indiana",24,18,824.077697753906,2418,3,"Maryland","Indiana"
"Maryland","Kansas",24,20,1872.38146972656,2420,2,"Maryland","Kansas"
"Maryland","District of Columbia",24,11,27.4363346099854,2411,67,"Maryland","District of Columbia"
"Maryland","Rhode Island",24,44,529.710510253906,2444,1,"Maryland","Rhode Island"
"Maryland","Massachusetts",24,25,551.588256835938,2425,1,"Maryland","Massachusetts"
"Maryland","Connecticut",24,9,445.774780273438,2409,1,"Maryland","Connecticut"
"Maryland","Vermont",24,50,654.931579589844,2450,1,"Maryland","Vermont"
"Maryland","Ohio",24,39,536.719848632812,2439,1,"Maryland","Ohio"
"Maryland","New Jersey",24,34,219.395385742188,2434,2,"Maryland","New Jersey"
"Maryland","South Carolina",24,45,679.447692871094,2445,5,"Maryland","South Carolina"
"Maryland","Arizona",24,4,3139.85205078125,2404,2,"Maryland","Arizona"
"Oregon","California",41,6,756.759948730469,4106,21,"Oregon","California"
"Oregon","Idaho",41,16,476.976287841797,4116,17,"Oregon","Idaho"
"Oregon","Minnesota",41,27,2067.650390625,4127,2,"Oregon","Minnesota"
"Oregon","Montana",41,30,918.917358398438,4130,26,"Oregon","Montana"
"Oregon","Utah",41,49,899.960510253906,4149,14,"Oregon","Utah"
"Oregon","Texas",41,48,2318.52319335938,4148,5,"Oregon","Texas"
"Oregon","Louisiana",41,22,2885.025390625,4122,6,"Oregon","Louisiana"
"Oregon","Florida",41,12,3775.31518554688,4112,2,"Oregon","Florida"
"Oregon","New York",41,36,3594.3544921875,4136,1,"Oregon","New York"
"Oregon","Georgia",41,13,3440.68359375,4113,6,"Oregon","Georgia"
"Oregon","Washington",41,53,384.422760009766,4153,50,"Oregon","Washington"
"Oregon","West Virginia",41,54,3355.02465820312,4154,5,"Oregon","West Virginia"
"Oregon","Alaska",41,2,2977.7001953125,4102,6,"Oregon","Alaska"
"Oregon","Colorado",41,8,1363.67810058594,4108,2,"Oregon","Colorado"
"Oregon","Kansas",41,20,1944.84704589844,4120,4,"Oregon","Kansas"
"Oregon","District of Columbia",41,11,3631.064453125,4111,3,"Oregon","District of Columbia"
"Oregon","Rhode Island",41,44,3949.17553710938,4144,1,"Oregon","Rhode Island"
"Oregon","Wyoming",41,56,1054.16687011719,4156,11,"Oregon","Wyoming"
"Oregon","Vermont",41,50,3775.46875,4150,3,"Oregon","Vermont"
