"state1_name","state2_name","state1_fips","state2_fips","distance_km","state_comb","n","mig_1yago","mig_current"
"Minnesota","District of Columbia",27,11,1630.52685546875,2711,NA,"Minnesota","District of Columbia"
"Minnesota","Rhode Island",27,44,1885.85925292969,2744,NA,"Minnesota","Rhode Island"
"Minnesota","Wyoming",27,56,1108.47436523438,2756,1,"Minnesota","Wyoming"
"Minnesota","Mississippi",27,28,1557.23693847656,2728,NA,"Minnesota","Mississippi"
"Minnesota","Massachusetts",27,25,1844.14379882812,2725,NA,"Minnesota","Massachusetts"
"Minnesota","Connecticut",27,9,1796.83642578125,2709,NA,"Minnesota","Connecticut"
"Minnesota","Vermont",27,50,1708.32263183594,2750,2,"Minnesota","Vermont"
"Minnesota","Maine",27,23,1938.53930664062,2723,NA,"Minnesota","Maine"
"Minnesota","New Hampshire",27,33,1804.1064453125,2733,NA,"Minnesota","New Hampshire"
"Minnesota","New Mexico",27,35,1653.02087402344,2735,NA,"Minnesota","New Mexico"
"Minnesota","Ohio",27,39,1143.26794433594,2739,NA,"Minnesota","Ohio"
"Minnesota","Alabama",27,1,1631.02026367188,2701,NA,"Minnesota","Alabama"
"Minnesota","Nebraska",27,31,686.557983398438,2731,NA,"Minnesota","Nebraska"
"Minnesota","South Dakota",27,46,505.798370361328,2746,3,"Minnesota","South Dakota"
"Minnesota","Nevada",27,32,1970.22290039062,2732,NA,"Minnesota","Nevada"
"Minnesota","New Jersey",27,34,1723.85900878906,2734,NA,"Minnesota","New Jersey"
"Minnesota","North Dakota",27,38,486.032318115234,2738,19,"Minnesota","North Dakota"
"Minnesota","South Carolina",27,45,1782.5048828125,2745,NA,"Minnesota","South Carolina"
"Minnesota","Arizona",27,4,1979.62084960938,2704,NA,"Minnesota","Arizona"
"Minnesota","Arkansas",27,5,1275.93615722656,2705,3,"Minnesota","Arkansas"
"Iowa","California",19,6,2280.83349609375,1906,5,"Iowa","California"
"Iowa","Wisconsin",19,55,400.744964599609,1955,8,"Iowa","Wisconsin"
"Iowa","Idaho",19,16,1725.02404785156,1916,4,"Iowa","Idaho"
"Iowa","Minnesota",19,27,472.194213867188,1927,NA,"Iowa","Minnesota"
"Iowa","Missouri",19,29,422.684265136719,1929,1,"Iowa","Missouri"
"Iowa","Maryland",19,24,1452.74743652344,1924,NA,"Iowa","Maryland"
"Iowa","Oregon",19,41,2200.81982421875,1941,NA,"Iowa","Oregon"
"Iowa","Michigan",19,26,703.80615234375,1926,NA,"Iowa","Michigan"
"Iowa","Montana",19,30,1389.67028808594,1930,NA,"Iowa","Montana"
"Iowa","Utah",19,49,1559.87719726562,1949,NA,"Iowa","Utah"
"Iowa","Virginia",19,51,1351.748046875,1951,NA,"Iowa","Virginia"
"Iowa","Illinois",19,17,425.518676757812,1917,NA,"Iowa","Illinois"
"Iowa","Texas",19,48,1289.8212890625,1948,2,"Iowa","Texas"
"Iowa","Louisiana",19,22,1237.9228515625,1922,NA,"Iowa","Louisiana"
"Iowa","Florida",19,12,1800.64111328125,1912,NA,"Iowa","Florida"
"Iowa","Kentucky",19,21,862.469970703125,1921,NA,"Iowa","Kentucky"
"Iowa","Tennessee",19,47,926.491394042969,1947,NA,"Iowa","Tennessee"
"Iowa","New York",19,36,1475.2119140625,1936,NA,"Iowa","New York"
"Iowa","Georgia",19,13,1373.57983398438,1913,NA,"Iowa","Georgia"
"Iowa","Hawaii",19,15,6298.9150390625,1915,3,"Iowa","Hawaii"
"Iowa","Delaware",19,10,1555.54675292969,1910,NA,"Iowa","Delaware"
"Iowa","Washington",19,53,2200.96630859375,1953,NA,"Iowa","Washington"
"Iowa","Oklahoma",19,40,799.871643066406,1940,NA,"Iowa","Oklahoma"
"Iowa","West Virginia",19,54,1154.22741699219,1954,NA,"Iowa","West Virginia"
"Iowa","Alaska",19,2,4400.64453125,1902,2,"Iowa","Alaska"
"Iowa","Pennsylvania",19,42,1312.47766113281,1942,NA,"Iowa","Pennsylvania"
"Iowa","Colorado",19,8,1073.3994140625,1908,NA,"Iowa","Colorado"
"Iowa","North Carolina",19,37,1433.91943359375,1937,NA,"Iowa","North Carolina"
"Iowa","Indiana",19,18,652.054931640625,1918,NA,"Iowa","Indiana"
"Iowa","Kansas",19,20,574.369689941406,1920,NA,"Iowa","Kansas"
"Iowa","District of Columbia",19,11,1434.90783691406,1911,NA,"Iowa","District of Columbia"
"Iowa","Rhode Island",19,44,1814.20776367188,1944,NA,"Iowa","Rhode Island"
"Iowa","Wyoming",19,56,1154.87780761719,1956,NA,"Iowa","Wyoming"
"Iowa","Mississippi",19,28,1091.90612792969,1928,NA,"Iowa","Mississippi"
"Iowa","Massachusetts",19,25,1787.21704101562,1925,NA,"Iowa","Massachusetts"
"Iowa","Connecticut",19,9,1716.69299316406,1909,NA,"Iowa","Connecticut"
"Iowa","Vermont",19,50,1701.71301269531,1950,NA,"Iowa","Vermont"
"Iowa","Maine",19,23,1976.34094238281,1923,2,"Iowa","Maine"
"Iowa","New Hampshire",19,33,1789.39172363281,1933,NA,"Iowa","New Hampshire"
"Iowa","New Mexico",19,35,1390.77893066406,1935,NA,"Iowa","New Mexico"
"Iowa","Ohio",19,39,916.425903320312,1939,NA,"Iowa","Ohio"
"Iowa","Alabama",19,1,1188.86437988281,1901,NA,"Iowa","Alabama"
"Iowa","Nebraska",19,31,525.422790527344,1931,10,"Iowa","Nebraska"
"Iowa","South Dakota",19,46,605.200378417969,1946,5,"Iowa","South Dakota"
"Iowa","Nevada",19,32,1967.90808105469,1932,NA,"Iowa","Nevada"
"Iowa","New Jersey",19,34,1588.02160644531,1934,NA,"Iowa","New Jersey"
"Iowa","North Dakota",19,38,811.784851074219,1938,3,"Iowa","North Dakota"
"Iowa","South Carolina",19,45,1427.49279785156,1945,NA,"Iowa","South Carolina"
"Iowa","Arizona",19,4,1804.05224609375,1904,NA,"Iowa","Arizona"
"Iowa","Arkansas",19,5,803.762939453125,1905,NA,"Iowa","Arkansas"
"Missouri","California",29,6,2369.66650390625,2906,2,"Missouri","California"
"Missouri","Wisconsin",29,55,726.579956054688,2955,NA,"Missouri","Wisconsin"
"Missouri","Idaho",29,16,1958.14709472656,2916,NA,"Missouri","Idaho"
"Missouri","Minnesota",29,27,894.09765625,2927,2,"Missouri","Minnesota"
"Missouri","Iowa",29,19,422.684265136719,2919,1,"Missouri","Iowa"
"Missouri","Maryland",29,24,1364.31030273438,2924,NA,"Missouri","Maryland"
"Missouri","Oregon",29,41,2420.65942382812,2941,NA,"Missouri","Oregon"
"Missouri","Michigan",29,26,889.091125488281,2926,NA,"Missouri","Michigan"
"Missouri","Montana",29,30,1698.13732910156,2930,NA,"Missouri","Montana"
"Missouri","Utah",29,49,1664.30603027344,2949,NA,"Missouri","Utah"
"Missouri","Virginia",29,51,1200.53698730469,2951,NA,"Missouri","Virginia"
"Missouri","Illinois",29,17,337.706451416016,2917,9,"Missouri","Illinois"
