"State.x","acs_median_age","acs_median_hh_inc","acs_median_hh_inc_black","acs_median_hh_inc_asian","acs_median_hh_inc_white","acs_median_hh_inc_hisp","acs_median_inc_m","acs_median_inc_f","acs_mean_wkhr","statefip","State.y","acs_tot_civilian_labor","acs_pct_employed","acs_pct_unemploy","acs_female_labor","acs_female_employed","acs_tot_pop_wt","acs_pct_male","acs_pct_age_0_17","acs_pct_age_above65","acs_pct_hispanic","acs_pct_white","acs_pct_black","acs_pct_asian"
"Maine",44.1,49462,16760,41731,50041,52477,32286,24508,38.2,23,"Maine",693848,59.3,3.7,59,56,1330089,48.7,76.8,51.8,1.5,94.8,1.2,1.1
"Maryland",38.3,73971,59346,94344,82846,63020,45219,34280,38.8,24,"Maryland",3225569,62.7,4.8,63.8,59.3,5976407,48.5,73.3,52.3,9.3,57.4,29.7,6.2
"Massachusetts",39.4,69160,42114,81505,75598,34507,45472,31444,37.8,25,"Massachusetts",3720446,62.9,4.5,63.6,59.6,6745408,48.5,74.8,52.2,10.8,79.3,7.1,6.1
"Michigan",39.6,49847,29697,72206,53496,42649,35196,22266,37.8,26,"Michigan",4848831,55.9,5,56.8,52.4,9909877,49.1,73.3,51.5,4.8,78.9,13.9,2.8
"Minnesota",37.8,61481,27026,67944,64824,42060,40477,28489,38.2,27,"Minnesota",3005705,66.3,3.3,66,63.3,5457173,49.7,72.6,50.7,5.1,84.4,5.7,4.6
"Mississippi",36.7,39680,27252,47114,48844,41723,31645,22064,39.2,28,"Mississippi",1339521,51.7,5.6,53.3,48.1,2994079,48.7,70.7,52.2,2.7,58.8,37.8,0.8
"Missouri",38.5,48363,31617,63179,51383,39724,33532,24288,38.6,29,"Missouri",3009857,58.1,4.2,58.4,54.8,6063589,49,72.8,51.6,3.8,82.3,11.7,1.8
"Montana",39.6,46328,23920,31865,48005,36281,31519,20972,38.3,30,"Montana",520318,60.1,3.1,59.3,56.5,1023579,50.2,73.8,50.2,3.4,89.4,0.6,0.8
"Nebraska",36.2,52686,30774,45694,55976,40050,35592,24139,39.3,31,"Nebraska",1024201,67.1,2.9,65.3,62.6,1881503,49.8,70.7,50.8,10.1,88.3,4.7,2.1
"Nevada",37.4,51450,36168,58874,56514,43640,32408,26211,38.1,32,"Nevada",1425975,57.7,5.6,58.4,53.4,2839099,50.3,72.9,50.1,27.8,68,8.6,7.8
"New Hampshire",42.5,66532,47706,77436,67318,44520,41822,29511,38.3,33,"New Hampshire",742710,64.4,3.5,63.2,60.5,1326813,49.4,75.4,51.1,3.2,93.4,1.3,2.6
"New Jersey",39.4,71919,46342,104045,82182,47794,45957,31587,38.5,34,"New Jersey",4725817,61,5,60.5,55.9,8938175,48.8,73.7,51.8,19.3,67.7,13.6,9.3
"New Mexico",37.2,44803,37773,55988,53422,38236,30544,21620,38.2,35,"New Mexico",958074,53.4,5.1,54.1,49.6,2085572,49.5,71.6,50.9,47.7,73.1,2,1.5
"New York",38.2,58878,40912,61480,68283,40740,39407,30475,38.3,36,"New York",10085377,58.5,4.6,58.6,54.5,19746227,48.5,74.4,52.2,18.6,64,15.7,8.2
"North Carolina",38.3,46556,33022,69651,52759,32463,31657,24329,38.8,37,"North Carolina",4849396,56.3,5.1,57.2,52.5,9943964,48.7,72.5,52,9,69.1,21.7,2.5
"North Dakota",35.1,59029,23319,56114,61864,44516,40921,25707,40.9,38,"North Dakota",403774,66.5,2.1,64.3,62.6,739482,50.9,72.6,49,2.8,88.5,2,1.2
"Ohio",39.4,49308,26747,70377,52815,38794,35663,24455,38.1,39,"Ohio",5858014,58.7,4.5,58.9,54.9,11594163,49,73.1,51.7,3.4,82.1,12.2,1.9
"Oklahoma",36.2,47529,30003,49612,51525,37783,34234,22829,39.7,40,"Oklahoma",1840095,57.3,3.4,55.6,52.5,3878051,49.5,71.1,51.1,9.8,72.9,7.4,2
"Oregon",39.3,51075,30892,67748,52915,39780,31977,23024,37.3,41,"Oregon",1972039,56.6,4.8,57.1,52.8,3970239,49.5,74.4,51,12.5,84.6,1.8,4
"Pennsylvania",40.7,53234,32271,64041,57540,35231,38204,26207,38.3,42,"Pennsylvania",6503715,58.1,4.4,58.3,54.5,12787209,48.9,74.6,51.7,6.5,81.4,11.1,3.1
"Rhode Island",39.8,54891,35772,62203,61406,30797,36574,26534,37,44,"Rhode Island",561526,59.7,5,61,56.2,1055173,48.5,74.7,52.2,14,81.3,6.7,3.4
"South Carolina",38.8,45238,30333,51325,52356,35595,31359,22311,38.7,45,"South Carolina",2314815,54.9,4.9,55.9,51.2,4832482,48.7,73.1,52,5.3,67.3,27.3,1.4
"South Dakota",36.6,50979,37242,50758,53187,43338,34114,24536,39.8,46,"South Dakota",460449,66.5,2.7,65,62.6,853175,50.1,70.9,50.2,3.4,84.9,1.7,1.3
"Tennessee",38.6,44361,31071,66118,48218,35941,31538,22539,38.8,47,"Tennessee",3156636,55.7,4.7,56,51.5,6549352,48.7,73,52,4.9,77.6,16.9,1.6
"Texas",34.3,53035,39280,76928,65786,41177,35774,24077,40.1,48,"Texas",13210842,60.2,3.9,57.6,53.9,26956958,49.7,69.2,50.9,38.6,75.2,12,4.3
"Vermont",42.8,54166,50933,60212,54640,50538,34839,25083,37.9,50,"Vermont",343957,62.5,3.6,62.9,59.2,626562,49.2,75.9,51.4,1.7,94.5,1,1.6
"Utah",30.5,60922,41611,67412,63994,42772,36944,20197,37,49,"Utah",1435751,64,3.3,59.3,56.4,2942902,50.3,64.9,50.3,13.5,87.3,1.1,2.2
"Virginia",37.7,64902,43846,92255,70878,60491,41266,28663,38.9,51,"Virginia",4300221,60.6,3.9,60.6,57,8326289,49.2,73.2,51.4,8.8,68.9,19.2,6.1
"Washington",37.5,61366,43296,75039,63519,47010,41354,26353,38.3,53,"Washington",3564013,59.1,4.1,58.3,54.6,7061530,50,73.4,50.4,12.2,77.7,3.6,7.8
"West Virginia",41.9,41059,30044,38666,41673,34907,33401,21770,38.8,54,"West Virginia",803400,49.5,3.7,48.7,45.9,1850326,49.4,75.2,51.1,1.3,93.6,3.7,0.6
"Wisconsin",39.2,52622,26053,50264,56083,37140,36765,25272,38.3,55,"Wisconsin",3080347,63.3,3.5,63.3,60.3,5757564,49.6,73.3,50.8,6.4,86.3,6.3,2.6
"Wyoming",36.6,57055,NA,46579,60360,43002,40821,23138,40.6,56,"Wyoming",312702,64.8,2.9,62.6,60,584153,50.9,72.3,49.2,9.8,91,1.1,0.9
"Puerto Rico",39.3,18928,19227,14991,27995,18862,16455,16986,35.6,72,"Puerto Rico",1280836,36.3,8.2,39.5,32,3548397,48,73.6,53.1,99,71,8.4,0.2
