"state1_name","state2_name","state1_fips","state2_fips","distance_km"
"Missouri","Minnesota","29","27",894.097655660803
"Missouri","Iowa","29","19",422.684277363073
"Missouri","Maryland","29","24",1364.31032912505
"Missouri","Oregon","29","41",2420.6593542932
"Missouri","Michigan","29","26",889.091115701118
"Missouri","Montana","29","30",1698.1373808758
"Missouri","Utah","29","49",1664.30597736843
"Missouri","Virginia","29","51",1200.53703082937
"Missouri","Illinois","29","17",337.706453072702
"Missouri","Texas","29","48",989.745613816104
"Missouri","Louisiana","29","22",818.069512548496
"Missouri","Florida","29","12",1427.45203078395
"Missouri","Kentucky","29","21",634.158179373426
"Missouri","Tennessee","29","47",608.783000362165
"Missouri","New York","29","36",1515.16729638896
"Missouri","Georgia","29","13",1034.56933467683
"Missouri","Hawaii","29","15",6383.29582902473
"Missouri","Delaware","29","10",1471.72164660541
"Missouri","Washington","29","53",2478.38443713068
"Missouri","Oklahoma","29","40",542.873284692522
"Missouri","West Virginia","29","54",1029.84875672802
"Missouri","Alaska","29","02",4789.3813688195
"Missouri","Pennsylvania","29","42",1284.88835801226
"Missouri","Colorado","29","08",1137.46978793387
"Missouri","North Carolina","29","37",1219.12144022995
"Missouri","Indiana","29","18",559.471927044625
"Missouri","Kansas","29","20",515.736484533997
"Missouri","District of Columbia","29","11",1341.12517844121
"Missouri","Rhode Island","29","44",1814.98751180782
"Missouri","Wyoming","29","56",1370.8127057135
"Missouri","Mississippi","29","28",674.156562055816
"Missouri","Massachusetts","29","25",1803.1052987167
"Missouri","Connecticut","29","09",1715.5720879254
"Missouri","Vermont","29","50",1767.78758336066
"Missouri","Maine","29","23",2065.61353739278
"Missouri","New Hampshire","29","33",1842.997636641
"Missouri","New Mexico","29","35",1297.28103143317
"Missouri","Ohio","29","39",858.043770606965
"Missouri","Alabama","29","01",802.349249367298
"Missouri","Nebraska","29","31",718.060341882949
"Missouri","South Dakota","29","46",936.138045062213
"Missouri","Nevada","29","32",2090.06342785686
"Missouri","New Jersey","29","34",1542.64133477019
"Missouri","North Dakota","29","38",1201.69686909163
"Missouri","South Carolina","29","45",1149.71352305598
"Missouri","Arizona","29","04",1775.63430243477
"Missouri","Arkansas","29","05",385.106186385532
"Maryland","California","24","06",3709.99124186271
"Maryland","Wisconsin","24","55",1259.71332723354
"Maryland","Idaho","24","16",3170.51052941554
"Maryland","Minnesota","24","27",1641.80577851894
"Maryland","Iowa","24","19",1452.74747944625
"Maryland","Missouri","24","29",1364.31032912505
"Maryland","Oregon","24","41",3647.4346076254
"Maryland","Michigan","24","26",928.392924802702
"Maryland","Montana","24","30",2793.80737501257
"Maryland","Utah","24","49",2992.27242187076
"Maryland","Virginia","24","51",245.709841805153
"Maryland","Illinois","24","17",1072.98775489456
"Maryland","Texas","24","48",2208.27845182842
"Maryland","Louisiana","24","22",1642.01650006609
"Maryland","Florida","24","12",1275.21541853465
"Maryland","Kentucky","24","21",764.906954896136
"Maryland","Tennessee","24","47",917.737493089115
"Maryland","New York","24","36",446.571093132303
"Maryland","Georgia","24","13",931.561106006421
"Maryland","Hawaii","24","15",7732.36139696491
"Maryland","Delaware","24","10",107.414121935991
"Maryland","Washington","24","53",3614.63640833912
"Maryland","Oklahoma","24","40",1870.3715322135
"Maryland","West Virginia","24","54",338.69228987859
"Maryland","Alaska","24","02",5496.60033798539
"Maryland","Pennsylvania","24","42",224.559642496818
"Maryland","Colorado","24","08",2478.19737643789
"Maryland","North Carolina","24","37",442.568619064952
"Maryland","Indiana","24","18",824.077684980777
"Maryland","Kansas","24","20",1872.38153046868
"Maryland","District of Columbia","24","11",27.4363337226607
"Maryland","Rhode Island","24","44",529.710518806359
"Maryland","Wyoming","24","56",2607.25899503796
"Maryland","Mississippi","24","28",1356.27133832873
"Maryland","Massachusetts","24","25",551.588234672323
"Maryland","Connecticut","24","09",445.774766700388
"Maryland","Vermont","24","50",654.931576272139
"Maryland","Maine","24","23",934.42043578837
"Maryland","New Hampshire","24","33",672.863975931575
"Maryland","New Mexico","24","35",2655.70834886714
"Maryland","Ohio","24","39",536.719858250757
"Maryland","Alabama","24","01",1142.82884241329
"Maryland","Nebraska","24","31",1969.20835909573
"Maryland","South Dakota","24","46",2031.38606052343
"Maryland","Nevada","24","32",3409.93784901383
"Maryland","New Jersey","24","34",219.395386879303
"Maryland","North Dakota","24","38",2126.16244290854
"Maryland","South Carolina","24","45",679.447662893865
"Maryland","Arizona","24","04",3139.85213542447
"Maryland","Arkansas","24","05",1466.38149705576
"Oregon","California","41","06",756.759968753905
"Oregon","Wisconsin","41","55",2420.6104870684
"Oregon","Idaho","41","16",476.976276129947
"Oregon","Minnesota","41","27",2067.65042389021
"Oregon","Iowa","41","19",2200.81992570407
"Oregon","Missouri","41","29",2420.6593542932
"Oregon","Maryland","41","24",3647.4346076254
"Oregon","Michigan","41","26",2786.09610573518
"Oregon","Montana","41","30",918.917331796298
"Oregon","Utah","41","49",899.960493633027
"Oregon","Virginia","41","51",3551.71930636215
"Oregon","Illinois","41","17",2612.20462125799
"Oregon","Texas","41","48",2318.52324398766
"Oregon","Louisiana","41","22",2885.02537395674
"Oregon","Florida","41","12",3775.31523077868
"Oregon","Kentucky","41","21",3030.48417970494
"Oregon","Tennessee","41","47",3029.28630063595
"Oregon","New York","41","36",3594.35460279326
"Oregon","Georgia","41","13",3440.6835879779
"Oregon","Hawaii","41","15",4222.3640614844
"Oregon","Delaware","41","10",3747.47275592252
"Oregon","Washington","41","53",384.422769159197
"Oregon","Oklahoma","41","40",2169.43456612101
"Oregon","West Virginia","41","54",3355.02472871841
"Oregon","Alaska","41","02",2977.70013757451
"Oregon","Pennsylvania","41","42",3488.08058228021
"Oregon","Colorado","41","08",1363.67812583187
"Oregon","North Carolina","41","37",3618.09607145844
"Oregon","Indiana","41","18",2851.05578489503
"Oregon","Kansas","41","20",1944.84708079732
"Oregon","District of Columbia","41","11",3631.06441510771
"Oregon","Rhode Island","41","44",3949.17554357268
"Oregon","Wyoming","41","56",1054.1668473517
"Oregon","Mississippi","41","28",2945.86536649139
"Oregon","Massachusetts","41","25",3909.73439418999
"Oregon","Connecticut","41","09",3857.7324749451
"Oregon","Vermont","41","50",3775.46878736134
"Oregon","Maine","41","23",3995.37102971186
"Oregon","New Hampshire","41","33",3871.50113466367
"Oregon","New Mexico","41","35",1630.99808432662
"Oregon","Ohio","41","39",3114.03395670799
"Oregon","Alabama","41","01",3164.56941037882
"Oregon","Nebraska","41","31",1712.30197421863
"Oregon","South Dakota","41","46",1618.19994732062
"Oregon","Nevada","41","32",607.311935834094
"Oregon","New Jersey","41","34",3763.38240618371
"Oregon","North Dakota","41","38",1604.18587697491
"Oregon","South Carolina","41","45",3569.94829964515
"Oregon","Arizona","41","04",1318.83548773964
"Oregon","Arkansas","41","05",2600.42719781137
"Michigan","California","26","06",2956.13505300258
"Michigan","Wisconsin","26","55",367.079567865143
"Michigan","Idaho","26","16",2311.93349503046
"Michigan","Minnesota","26","27",729.797027438782
"Michigan","Iowa","26","19",703.80616219267
"Michigan","Missouri","26","29",889.091115701118
"Michigan","Maryland","26","24",928.392924802702
"Michigan","Oregon","26","41",2786.09610573518
"Michigan","Montana","26","30",1899.44843609336
"Michigan","Utah","26","49",2238.53934388914
"Michigan","Virginia","26","51",938.144024869395
"Michigan","Illinois","26","17",572.092449389616
"Michigan","Texas","26","48",1878.61087227238
"Michigan","Louisiana","26","22",1588.85819705645
"Michigan","Florida","26","12",1771.61375207375
"Michigan","Kentucky","26","21",756.926937254478
"Michigan","Tennessee","26","47",946.806398506324
"Michigan","New York","26","36",809.712976466349
"Michigan","Georgia","26","13",1312.3487404012
"Michigan","Hawaii","26","15",6956.13801375099
"Michigan","Delaware","26","10",1012.01526073036
"Michigan","Washington","26","53",2716.6629277214
"Michigan","Oklahoma","26","40",1415.86022183538
"Michigan","West Virginia","26","54",747.139402205028
"Michigan","Alaska","26","02",4597.5986104926
"Michigan","Pennsylvania","26","42",729.777754329809
"Michigan","Colorado","26","08",1771.78117140062
"Michigan","North Carolina","26","37",1110.21793622631
"Michigan","Indiana","26","18",500.051133424274
"Michigan","Kansas","26","20",1261.55671293043
"Michigan","District of Columbia","26","11",920.504940632658
"Michigan","Rhode Island","26","44",1163.38739895781
"Michigan","Wyoming","26","56",1783.97306488634
"Michigan","Mississippi","26","28",1342.63653792302
"Michigan","Massachusetts","26","25",1125.98147790621
"Michigan","Connecticut","26","09",1071.65987493406
"Michigan","Vermont","26","50",1012.99282486523
"Michigan","Maine","26","23",1276.48095177397
"Michigan","New Hampshire","26","33",1104.90221528108
"Michigan","New Mexico","26","35",2087.46654570088
"Michigan","Ohio","26","39",497.930714192843
"Michigan","Alabama","26","01",1292.08898901409
"Michigan","Nebraska","26","31",1212.17474397997
"Michigan","South Dakota","26","46",1178.021716137
"Michigan","Nevada","26","32",2631.3766128228
"Michigan","New Jersey","26","34",994.925922174138
"Michigan","North Dakota","26","38",1215.20467218811
"Michigan","South Carolina","26","45",1222.78686080714
"Michigan","Arizona","26","04",2507.78930835553
"Michigan","Arkansas","26","05",1210.99569509152
"Montana","California","30","06",1363.06541908349
"Montana","Wisconsin","30","55",1540.87925662995
"Montana","Idaho","30","16",489.584002203965
"Montana","Minnesota","30","27",1170.88306580107
"Montana","Iowa","30","19",1389.67032380505
"Montana","Missouri","30","29",1698.1373808758
"Montana","Maryland","30","24",2793.80737501257
"Montana","Oregon","30","41",918.917331796298
"Montana","Michigan","30","26",1899.44843609336
"Montana","Utah","30","49",877.112829610706
"Montana","Virginia","30","51",2726.64031977149
"Montana","Illinois","30","17",1815.03781233903
"Montana","Texas","30","48",1946.46153163777
"Montana","Louisiana","30","22",2337.78225688273
"Montana","Florida","30","12",3120.61604992772
"Montana","Kentucky","30","21",2250.71592657272
"Montana","Tennessee","30","47",2291.61899170116
"Montana","New York","30","36",2700.39071598269
"Montana","Georgia","30","13",2730.22043430481
"Montana","Hawaii","30","15",5141.17265860287
"Montana","Delaware","30","10",2889.06075657432
"Montana","Washington","30","53",820.829387079043
"Montana","Oklahoma","30","40",1624.5418834203
"Montana","West Virginia","30","54",2525.06021820523
"Montana","Alaska","30","02",3183.03449605686
"Montana","Pennsylvania","30","42",2618.49121116483
"Montana","Colorado","30","08",954.961503301656
"Montana","North Carolina","30","37",2822.4116519104
"Montana","Indiana","30","18",2035.56286895986
"Montana","Kansas","30","20",1320.10407591679
"Montana","District of Columbia","30","11",2780.01244590584
"Montana","Rhode Island","30","44",3056.2102270904
"Montana","Wyoming","30","56",479.804530395487
"Montana","Mississippi","30","28",2318.81214880811
"Montana","Massachusetts","30","25",3013.42517856898
"Montana","Connecticut","30","09",2967.65337829712
"Montana","Vermont","30","50",2869.87224154249
"Montana","Maine","30","23",3081.37192250118
"Montana","New Hampshire","30","33",2966.54222685696
"Montana","New Mexico","30","35",1436.67563326966
"Montana","Ohio","30","39",2272.12291740414
"Montana","Alabama","30","01",2494.05528755449
"Montana","Nebraska","30","31",993.190623874737
"Montana","South Dakota","30","46",784.596397538236
"Montana","Nevada","30","32",1028.463289373
"Montana","New Jersey","30","34",2890.38186567525
"Montana","North Dakota","30","38",692.795091387043
"Montana","South Carolina","30","45",2812.64128059316
"Montana","Arizona","30","04",1431.05000166641
"Montana","Arkansas","30","05",1969.3338119559
"Utah","California","49","06",720.978349039922
"Utah","Wisconsin","49","55",1880.75768610637
"Utah","Idaho","49","16",611.648857512671
"Utah","Minnesota","49","27",1610.5772268991
"Utah","Iowa","49","19",1559.87723444052
"Utah","Missouri","49","29",1664.30597736843
"Utah","Maryland","49","24",2992.27242187076
"Utah","Oregon","49","41",899.960493633027
"Utah","Michigan","49","26",2238.53934388914
"Utah","Montana","49","30",877.112829610706
"Utah","Virginia","49","51",2855.24333213714
"Utah","Illinois","49","17",1920.12741432453
"Utah","Texas","49","48",1419.61830864372
"Utah","Louisiana","49","22",2011.28571406355
"Utah","Florida","49","12",2930.18090984657
"Utah","Kentucky","49","21",2297.5663856007
"Utah","Tennessee","49","47",2256.40824146515
"Utah","New York","49","36",3032.74288598572
"Utah","Georgia","49","13",2634.85049168312
"Utah","Hawaii","49","15",4742.1239682627
"Utah","Delaware","49","10",3097.97233024903
"Utah","Washington","49","53",1146.47175824081
"Utah","Oklahoma","49","40",1316.19313262271
"Utah","West Virginia","49","54",2671.78994402296
"Utah","Alaska","49","02",3799.22880376689
"Utah","Pennsylvania","49","42",2868.54654410192
"Utah","Colorado","49","08",528.947988510345
"Utah","North Carolina","49","37",2883.29837764676
"Utah","Indiana","49","18",2168.93249604629
"Utah","Kansas","49","20",1152.79492442033
"Utah","District of Columbia","49","11",2971.93745154576
"Utah","Rhode Island","49","44",3374.03228749164
"Utah","Wyoming","49","56",535.855627785975
"Utah","Mississippi","49","28",2102.95538093754
"Utah","Massachusetts","49","25",3346.21728267731
"Utah","Connecticut","49","09",3276.57014194783
"Utah","Vermont","49","50",3250.81734155836
"Utah","Maine","49","23",3511.44419548707
"Utah","New Hampshire","49","33",3341.31778516968
"Utah","New Mexico","49","35",735.323564551065
"Utah","Ohio","49","39",2458.2818161252
"Utah","Alabama","49","01",2339.6593042838
"Utah","Nebraska","49","31",1034.54976143019
"Utah","South Dakota","49","46",1104.86262780609
"Utah","Nevada","49","32",426.760146213004
"Utah","New Jersey","49","34",3142.52139990718
"Utah","North Dakota","49","38",1278.23763674633
"Utah","South Carolina","49","45",2798.07066895598
"Utah","Arizona","49","04",559.437284217852
"Utah","Arkansas","49","05",1770.55911321082
"Virginia","California","51","06",3567.03049942939
"Virginia","Wisconsin","51","55",1224.82636312005
"Virginia","Idaho","51","16",3076.49084497834
"Virginia","Minnesota","51","27",1606.50949125836
"Virginia","Iowa","51","19",1351.74805350974
"Virginia","Missouri","51","29",1200.53703082937
"Virginia","Maryland","51","24",245.709841805153
"Virginia","Oregon","51","41",3551.71930636215
"Virginia","Michigan","51","26",938.144024869395
"Virginia","Montana","51","30",2726.64031977149
"Virginia","Utah","51","49",2855.24333213714
"Virginia","Illinois","51","17",943.288292721937
