state1_name,state2_name,state1_fips,state2_fips,distance_km,state_comb,migration_n,mig_1yago,mig_current
Iowa,West Virginia,19,54,1154.227417,1954,NA,Iowa,West Virginia
Iowa,Alaska,19,2,4400.644531,1902,2,Iowa,Alaska
Iowa,Pennsylvania,19,42,1312.477661,1942,NA,Iowa,Pennsylvania
Iowa,Colorado,19,8,1073.399414,1908,NA,Iowa,Colorado
Iowa,North Carolina,19,37,1433.919434,1937,NA,Iowa,North Carolina
Iowa,Indiana,19,18,652.0549316,1918,NA,Iowa,Indiana
Iowa,Kansas,19,20,574.3696899,1920,NA,Iowa,Kansas
Iowa,District of Columbia,19,11,1434.907837,1911,NA,Iowa,District of Columbia
Iowa,Rhode Island,19,44,1814.207764,1944,NA,Iowa,Rhode Island
Iowa,Wyoming,19,56,1154.877808,1956,NA,Iowa,Wyoming
Iowa,Mississippi,19,28,1091.906128,1928,NA,Iowa,Mississippi
Iowa,Massachusetts,19,25,1787.217041,1925,NA,Iowa,Massachusetts
Iowa,Connecticut,19,9,1716.692993,1909,NA,Iowa,Connecticut
Iowa,Vermont,19,50,1701.713013,1950,NA,Iowa,Vermont
Iowa,Maine,19,23,1976.340942,1923,2,Iowa,Maine
Iowa,New Hampshire,19,33,1789.391724,1933,NA,Iowa,New Hampshire
Iowa,New Mexico,19,35,1390.778931,1935,NA,Iowa,New Mexico
Iowa,Ohio,19,39,916.4259033,1939,NA,Iowa,Ohio
Iowa,Alabama,19,1,1188.86438,1901,NA,Iowa,Alabama
Iowa,Nebraska,19,31,525.4227905,1931,10,Iowa,Nebraska
Iowa,South Dakota,19,46,605.2003784,1946,5,Iowa,South Dakota
Iowa,Nevada,19,32,1967.908081,1932,NA,Iowa,Nevada
Iowa,New Jersey,19,34,1588.021606,1934,NA,Iowa,New Jersey
Iowa,North Dakota,19,38,811.7848511,1938,3,Iowa,North Dakota
Iowa,South Carolina,19,45,1427.492798,1945,NA,Iowa,South Carolina
Iowa,Arizona,19,4,1804.052246,1904,NA,Iowa,Arizona
Iowa,Arkansas,19,5,803.7629395,1905,NA,Iowa,Arkansas
Missouri,California,29,6,2369.666504,2906,2,Missouri,California
Missouri,Wisconsin,29,55,726.5799561,2955,NA,Missouri,Wisconsin
Missouri,Idaho,29,16,1958.147095,2916,NA,Missouri,Idaho
Missouri,Minnesota,29,27,894.0976563,2927,2,Missouri,Minnesota
Missouri,Iowa,29,19,422.6842651,2919,1,Missouri,Iowa
Missouri,Maryland,29,24,1364.310303,2924,NA,Missouri,Maryland
Missouri,Oregon,29,41,2420.659424,2941,NA,Missouri,Oregon
Missouri,Michigan,29,26,889.0911255,2926,NA,Missouri,Michigan
Missouri,Montana,29,30,1698.137329,2930,NA,Missouri,Montana
Missouri,Utah,29,49,1664.30603,2949,NA,Missouri,Utah
Missouri,Virginia,29,51,1200.536987,2951,NA,Missouri,Virginia
Missouri,Illinois,29,17,337.7064514,2917,9,Missouri,Illinois
Missouri,Texas,29,48,989.7456055,2948,NA,Missouri,Texas
Missouri,Louisiana,29,22,818.069519,2922,4,Missouri,Louisiana
Missouri,Florida,29,12,1427.452026,2912,NA,Missouri,Florida
Missouri,Kentucky,29,21,634.1582031,2921,9,Missouri,Kentucky
Missouri,Tennessee,29,47,608.78302,2947,3,Missouri,Tennessee
Missouri,New York,29,36,1515.167236,2936,NA,Missouri,New York
Missouri,Georgia,29,13,1034.569336,2913,NA,Missouri,Georgia
Missouri,Hawaii,29,15,6383.295898,2915,NA,Missouri,Hawaii
Missouri,Delaware,29,10,1471.72168,2910,NA,Missouri,Delaware
Missouri,Washington,29,53,2478.384521,2953,NA,Missouri,Washington
Missouri,Oklahoma,29,40,542.873291,2940,6,Missouri,Oklahoma
Missouri,West Virginia,29,54,1029.848755,2954,NA,Missouri,West Virginia
Missouri,Alaska,29,2,4789.381348,2902,5,Missouri,Alaska
Missouri,Pennsylvania,29,42,1284.888306,2942,1,Missouri,Pennsylvania
Missouri,Colorado,29,8,1137.469849,2908,NA,Missouri,Colorado
Missouri,North Carolina,29,37,1219.12146,2937,3,Missouri,North Carolina
Missouri,Indiana,29,18,559.4719238,2918,NA,Missouri,Indiana
Missouri,Kansas,29,20,515.7365112,2920,13,Missouri,Kansas
Missouri,District of Columbia,29,11,1341.125122,2911,NA,Missouri,District of Columbia
Missouri,Rhode Island,29,44,1814.987549,2944,NA,Missouri,Rhode Island
Missouri,Wyoming,29,56,1370.812744,2956,1,Missouri,Wyoming
Missouri,Mississippi,29,28,674.1565552,2928,NA,Missouri,Mississippi
Missouri,Massachusetts,29,25,1803.105347,2925,NA,Missouri,Massachusetts
Missouri,Connecticut,29,9,1715.572144,2909,NA,Missouri,Connecticut
Missouri,Vermont,29,50,1767.787598,2950,NA,Missouri,Vermont
Missouri,Maine,29,23,2065.613525,2923,NA,Missouri,Maine
Missouri,New Hampshire,29,33,1842.997681,2933,NA,Missouri,New Hampshire
Missouri,New Mexico,29,35,1297.281006,2935,4,Missouri,New Mexico
Missouri,Ohio,29,39,858.0437622,2939,NA,Missouri,Ohio
Missouri,Alabama,29,1,802.3492432,2901,1,Missouri,Alabama
Missouri,Nebraska,29,31,718.0603638,2931,1,Missouri,Nebraska
Missouri,South Dakota,29,46,936.1380615,2946,NA,Missouri,South Dakota
Missouri,Nevada,29,32,2090.063477,2932,NA,Missouri,Nevada
Missouri,New Jersey,29,34,1542.641357,2934,NA,Missouri,New Jersey
Missouri,North Dakota,29,38,1201.696899,2938,4,Missouri,North Dakota
Missouri,South Carolina,29,45,1149.713501,2945,NA,Missouri,South Carolina
Missouri,Arizona,29,4,1775.634277,2904,NA,Missouri,Arizona
Missouri,Arkansas,29,5,385.1062012,2905,2,Missouri,Arkansas
Maryland,California,24,6,3709.991211,2406,1,Maryland,California
Maryland,Wisconsin,24,55,1259.713379,2455,2,Maryland,Wisconsin
Maryland,Idaho,24,16,3170.510498,2416,NA,Maryland,Idaho
Maryland,Minnesota,24,27,1641.805786,2427,NA,Maryland,Minnesota
Maryland,Iowa,24,19,1452.747437,2419,NA,Maryland,Iowa
Maryland,Missouri,24,29,1364.310303,2429,NA,Maryland,Missouri
Maryland,Oregon,24,41,3647.43457,2441,NA,Maryland,Oregon
Maryland,Michigan,24,26,928.3929443,2426,NA,Maryland,Michigan
Maryland,Montana,24,30,2793.807373,2430,NA,Maryland,Montana
Maryland,Utah,24,49,2992.272461,2449,NA,Maryland,Utah
Maryland,Virginia,24,51,245.7098389,2451,21,Maryland,Virginia
Maryland,Illinois,24,17,1072.987793,2417,NA,Maryland,Illinois
Maryland,Texas,24,48,2208.278564,2448,7,Maryland,Texas
Maryland,Louisiana,24,22,1642.016479,2422,NA,Maryland,Louisiana
Maryland,Florida,24,12,1275.215454,2412,6,Maryland,Florida
Maryland,Kentucky,24,21,764.9069824,2421,7,Maryland,Kentucky
Maryland,Tennessee,24,47,917.7374878,2447,2,Maryland,Tennessee
Maryland,New York,24,36,446.571106,2436,2,Maryland,New York
Maryland,Georgia,24,13,931.5610962,2413,NA,Maryland,Georgia
Maryland,Hawaii,24,15,7732.361328,2415,NA,Maryland,Hawaii
Maryland,Delaware,24,10,107.4141235,2410,9,Maryland,Delaware
Maryland,Washington,24,53,3614.636475,2453,NA,Maryland,Washington
Maryland,Oklahoma,24,40,1870.371582,2440,NA,Maryland,Oklahoma
Maryland,West Virginia,24,54,338.6922913,2454,5,Maryland,West Virginia
Maryland,Alaska,24,2,5496.600098,2402,NA,Maryland,Alaska
Maryland,Pennsylvania,24,42,224.5596466,2442,2,Maryland,Pennsylvania
Maryland,Colorado,24,8,2478.197266,2408,5,Maryland,Colorado
Maryland,North Carolina,24,37,442.568634,2437,NA,Maryland,North Carolina
Maryland,Indiana,24,18,824.0776978,2418,NA,Maryland,Indiana
Maryland,Kansas,24,20,1872.38147,2420,NA,Maryland,Kansas
Maryland,District of Columbia,24,11,27.43633461,2411,13,Maryland,District of Columbia
Maryland,Rhode Island,24,44,529.7105103,2444,NA,Maryland,Rhode Island
Maryland,Wyoming,24,56,2607.259033,2456,4,Maryland,Wyoming
Maryland,Mississippi,24,28,1356.271362,2428,NA,Maryland,Mississippi
Maryland,Massachusetts,24,25,551.5882568,2425,NA,Maryland,Massachusetts
Maryland,Connecticut,24,9,445.7747803,2409,NA,Maryland,Connecticut
Maryland,Vermont,24,50,654.9315796,2450,NA,Maryland,Vermont
Maryland,Maine,24,23,934.4204102,2423,NA,Maryland,Maine
Maryland,New Hampshire,24,33,672.8639526,2433,NA,Maryland,New Hampshire
Maryland,New Mexico,24,35,2655.708252,2435,1,Maryland,New Mexico
Maryland,Ohio,24,39,536.7198486,2439,1,Maryland,Ohio
Maryland,Alabama,24,1,1142.828857,2401,4,Maryland,Alabama
Maryland,Nebraska,24,31,1969.208374,2431,4,Maryland,Nebraska
Maryland,South Dakota,24,46,2031.386108,2446,NA,Maryland,South Dakota
Maryland,Nevada,24,32,3409.937744,2432,NA,Maryland,Nevada
Maryland,New Jersey,24,34,219.3953857,2434,NA,Maryland,New Jersey
Maryland,North Dakota,24,38,2126.162354,2438,NA,Maryland,North Dakota
Maryland,South Carolina,24,45,679.4476929,2445,1,Maryland,South Carolina
Maryland,Arizona,24,4,3139.852051,2404,NA,Maryland,Arizona
Maryland,Arkansas,24,5,1466.38147,2405,NA,Maryland,Arkansas
Oregon,California,41,6,756.7599487,4106,22,Oregon,California
Oregon,Wisconsin,41,55,2420.610596,4155,NA,Oregon,Wisconsin
Oregon,Idaho,41,16,476.9762878,4116,5,Oregon,Idaho
Oregon,Minnesota,41,27,2067.650391,4127,2,Oregon,Minnesota
Oregon,Iowa,41,19,2200.819824,4119,NA,Oregon,Iowa
Oregon,Missouri,41,29,2420.659424,4129,NA,Oregon,Missouri
Oregon,Maryland,41,24,3647.43457,4124,NA,Oregon,Maryland
Oregon,Michigan,41,26,2786.096191,4126,NA,Oregon,Michigan
Oregon,Montana,41,30,918.9173584,4130,2,Oregon,Montana
Oregon,Utah,41,49,899.9605103,4149,4,Oregon,Utah
Oregon,Virginia,41,51,3551.719238,4151,NA,Oregon,Virginia
Oregon,Illinois,41,17,2612.20459,4117,NA,Oregon,Illinois
Oregon,Texas,41,48,2318.523193,4148,3,Oregon,Texas
Oregon,Louisiana,41,22,2885.025391,4122,NA,Oregon,Louisiana
Oregon,Florida,41,12,3775.315186,4112,NA,Oregon,Florida
Oregon,Kentucky,41,21,3030.484131,4121,NA,Oregon,Kentucky
Oregon,Tennessee,41,47,3029.286377,4147,NA,Oregon,Tennessee
Oregon,New York,41,36,3594.354492,4136,NA,Oregon,New York
Oregon,Georgia,41,13,3440.683594,4113,NA,Oregon,Georgia
Oregon,Hawaii,41,15,4222.364258,4115,1,Oregon,Hawaii
Oregon,Delaware,41,10,3747.472656,4110,NA,Oregon,Delaware
Oregon,Washington,41,53,384.42276,4153,15,Oregon,Washington
Oregon,Oklahoma,41,40,2169.43457,4140,NA,Oregon,Oklahoma
Oregon,West Virginia,41,54,3355.024658,4154,NA,Oregon,West Virginia
Oregon,Alaska,41,2,2977.700195,4102,2,Oregon,Alaska
Oregon,Pennsylvania,41,42,3488.080566,4142,NA,Oregon,Pennsylvania
Oregon,Colorado,41,8,1363.678101,4108,NA,Oregon,Colorado
Oregon,North Carolina,41,37,3618.096191,4137,NA,Oregon,North Carolina
Oregon,Indiana,41,18,2851.055664,4118,NA,Oregon,Indiana
Oregon,Kansas,41,20,1944.847046,4120,NA,Oregon,Kansas
Oregon,District of Columbia,41,11,3631.064453,4111,NA,Oregon,District of Columbia
